"status","chapter","search_date","query","video_url","video_id","title","presenter","channel","duration","upload_date","original_content_date","date_note","source_authority","qualification_evidence_url","playability","embed_status","learning_tier","classic_exception","classic_exception_reason","recent_alternative_search","commercial_disclosure","scope_note","last_verified_at","verifier","decision_reason"
"adopted","CH2","2026-08-01","site:youtube.com/watch ESSR knee ultrasound Part 1 2023","https://www.youtube.com/watch?v=dJwz_McEelo","dJwz_McEelo","„How to scan the Joints“ - Lower Limb: Knee Part 1, Saulius Rutkauskas","Saulius Rutkauskas, MD, PhD","ESSR Office","28:47","2023-03-15","","YouTube 說明只標 2021 educational video，精確錄製日未公開，維持 pending-date-verification。","professional-society-original","https://www.essr.org/workinggroups/","yt-dlp confirmed; unlisted but directly linked from ESSR e-learning","playable_in_embed=true; oEmbed 200","core","false","","knee ultrasound society; university; AIUM; AMSSM; recent named-expert alternatives","ESSR 與 YouTube 頁未載商業揭露；不推定無利益關係。","正常前、內、外側解剖與 live scan；不提供病理效能、報告或完整深部關節內排除。","2026-08-01","Codex + Rawls","官方學會原始來源、講者與資格可核對；一支涵蓋三區，是最小核心集合。"
"adopted","CH5","2026-08-01","site:youtube.com/watch ESSR knee ultrasound Part 2 2023","https://www.youtube.com/watch?v=_vOOjwdWNEY","_vOOjwdWNEY","„How to scan the Joints“ - Lower Limb: Knee Part 2, Saulius Rutkauskas,","Saulius Rutkauskas, MD, PhD","ESSR Office","23:00","2023-03-15","","YouTube 說明只標 2021 educational video，精確錄製日未公開，維持 pending-date-verification。","professional-society-original","https://www.essr.org/workinggroups/","yt-dlp confirmed; unlisted but directly linked from ESSR e-learning","playable_in_embed=true; oEmbed 200","core","false","","posterior knee ultrasound society; university; Baker cyst; DVT differential","ESSR 與 YouTube 頁未載商業揭露；不推定無利益關係。","正常後內、後外與膕窩 live scan；PCL 僅可見部分，並非正式 venous duplex。","2026-08-01","Codex + Rawls","與 Part 1 構成完整四區最小集合，且沒有介入操作。"
"rejected","CH2/CH6","2026-08-01","AMSSM knee ultrasound case presentation 2024","https://www.youtube.com/watch?v=9oADQrcj_qQ","9oADQrcj_qQ","Patellar Tendinopathy with Dr. Derek Stokes | AMSSM Sports Ultrasound Case Presentation","Derek Stokes, MD","The AMSSM","30:46","2024-03-01","","原始錄製日未另載。","professional-society-original","https://som.cuanschutz.edu/Profiles/Faculty/Profile/39568","yt-dlp public playback confirmed","playable_in_embed=true; oEmbed 200","extension","false","","ESSR knee Part 1; current anterior knee case alternatives","講者於 02:12 聲明 no disclosures。","單一髕腱病例；約 21:46 短述 aspiration。","2026-08-01","Rawls","診斷內容雖佳，但含介入片段；為維持 diagnostic-only 最小集合不發布。"
"rejected","CH3/CH6","2026-08-01","AMSSM knee ultrasound case presentation 2025","https://www.youtube.com/watch?v=NF2eDqFLMzo","NF2eDqFLMzo","Pes Anserine Bursitis with Dr. Mitchell Daugherty | Sports Ultrasound Case Presentation Series","Mitchell Daugherty, MD","The AMSSM","35:57","2025-07-25","","原始錄製日未另載。","professional-society-original","https://providers.beaconhealthsystem.org/1417481540/mitchell-daugherty-md","yt-dlp public playback confirmed","playable_in_embed=true; oEmbed 200","extension","false","","ESSR medial knee; recent MCL and pes anserine alternatives","講者於 00:56 聲明 nothing to disclose。","內側病例及技術陷阱；含 aspiration/injection safety 討論。","2026-08-01","Rawls","含介入討論且與 ESSR 內側核心重疊，維持候選不發布。"
"rejected","CH4/CH6","2026-08-01","AMSSM knee ultrasound case presentation 2024","https://www.youtube.com/watch?v=EPdbvE39xmQ","EPdbvE39xmQ","Lateral Parameniscal Cyst with Dr. Steven Jow | AMSSM Sports Ultrasound Case Presentation","Steven Jow, MD","The AMSSM","25:55","2024-02-02","","原始錄製日未另載。","professional-society-original","https://rehabmedicine.georgetown.edu/steven-jow-bio-page/","yt-dlp public playback confirmed","playable_in_embed=true; oEmbed 200","extension","false","","ESSR lateral knee; current parameniscal cyst alternatives","頁面與可取得字幕未見明確商業揭露。","外側 protocol、MRI correlation 與病例；15:37 起有 cyst aspiration。","2026-08-01","Rawls","包含介入片段；本版只收無介入的最小核心影片。"
"rejected","CH5/CH6","2026-08-01","AMSSM Baker cyst knee ultrasound case","https://www.youtube.com/watch?v=W-fEp1KPANs","W-fEp1KPANs","Atypical Baker's Cyst with Dr. Andrew Getzin | AMSSM Sports Ultrasound Case Presentation","Andrew Getzin, MD","The AMSSM","40:31","2021-12-10","","影片稱 prerecorded，未載錄製日。","professional-society-original","https://www.ithaca.edu/academics/school-health-sciences-and-human-performance/exercise-science-and-athletic-training/athletic-training/faculty-staff-medical-team","yt-dlp public playback confirmed","playable_in_embed=true; oEmbed 200","extension","false","","ESSR posterior knee; recent Baker cyst and DVT differential","講者聲明 no financial disclosures。","非典型 Baker cyst 單病例及 DVT differential；不是正式 venous duplex 教學。","2026-08-01","Rawls","病例長且非標準核心；後側基本路徑由 ESSR Part 2 覆蓋。"
"rejected","CH0/CH2","2026-08-01","knee ultrasound university physician four region survey","https://www.youtube.com/watch?v=bx0rT5U5ZU0","bx0rT5U5ZU0","Knee Ultrasound","James G. Wilcox, MD, FAAFP, RMSK","Indiana University School of Medicine POCUS","04:54","2022-12-12","","原始錄製日未另載。","university-medical-school","https://medicine.iu.edu/faculty/16988/wilcox-james","yt-dlp public playback confirmed","playable_in_embed=true; oEmbed 200","extension","false","","ESSR full knee scanning protocol","頁面未載商業揭露。","四區快速 survey。","2026-08-01","Rawls","過短且與 ESSR 完整路徑重複，列已驗證替代來源。"
"rejected","CH2-CH5","2026-08-01","臺大醫院 膝 超音波 掃描","https://www.youtube.com/watch?v=qecZx2jIr0Y","qecZx2jIr0Y","Ultrasound examination of the knee","","臺大醫院肌肉骨骼超音波中心 NTUH MSK Ultrasound center","08:48","2023-03-02","","原始錄製日、實際講者與資格未由影片或官方頁識別。","academic-medical-center-original","https://www.ntuh.gov.tw/PMR-MSK/Fpage.action?fid=3912&muid=2","yt-dlp public playback confirmed","playable_in_embed=true; oEmbed 200","extension","false","","recent official knee scan alternatives with named presenter","頁面未載商業揭露。","四區快速示範。","2026-08-01","Rawls","講者及資格無法確認，且與 ESSR 核心重複。"
"rejected","CH2-CH5","2026-08-01","recent knee MSK ultrasound patellar tendon ligaments bursa","https://www.youtube.com/watch?v=YPhzlKA13CQ","YPhzlKA13CQ","Knee MSK Ultrasound | Patellar Tendon, Ligaments & Bursa Assessment | SMUG Ultrasound Training","","SMUG MSK ultrasound training","18:08","2025-04-15","","原始錄製日與實際示範講者未公開。","commercial-medical-education","https://www.ultrasoundtraining.co.uk/faculty/","yt-dlp public playback confirmed","oEmbed available","extension","false","","ESSR 2023 named presenter; AMSSM named presenters","說明明確推廣付費 SMUG 課程。","多區掃描，但無法把影片內個人與 faculty 名單可靠配對。","2026-08-01","Codex + Gibbs","講者未知、商業推廣明顯，不能作 physician-facing core。"
"rejected","CH0/CH2","2026-08-01","knee ultrasound scan and inject recent","https://www.youtube.com/watch?v=ImE4euRG48k","ImE4euRG48k","How to Scan & Inject a Knee Joint with Ultrasound","","Sports Medicine Ultrasound","03:52","2023-04-17","","原始錄製日與講者未公開。","commercial-medical-education","","yt-dlp public playback confirmed","oEmbed available","extension","false","","diagnostic-only knee scanning sources","說明推廣商業 injection course。","標題與內容混合掃描和注射。","2026-08-01","Codex + Gibbs","介入為主且講者未確認，超出 diagnostic-only 範圍。"
